x_m,y_m,curvature_1_per_m,radius_m,heading_rad
1.817612661623239845e+01,3.002926339163255243e+00,5.891040707618774505e-03,1.697492938228585615e+02,6.790668795007874514e-02
1.836427718246579843e+01,3.015825815446472102e+00,5.581695643541931783e-03,1.791570275167203476e+02,6.898801325479146651e-02
1.855506993152364714e+01,3.029109704557827243e+00,5.298851133309519061e-03,1.887201536411963900e+02,7.002802924710427313e-02
1.874842813615525472e+01,3.042770502886338768e+00,5.039796617038328451e-03,1.984207054346682924e+02,7.102963275712657898e-02
1.894427506910993486e+01,3.056800706821023006e+00,4.802156837653697406e-03,2.082397626331158165e+02,7.199547944282869150e-02
1.914253400313700126e+01,3.071192812750897616e+00,4.583844530289977841e-03,2.181574862306115676e+02,7.292800932826305760e-02
1.934312821098576052e+01,3.085939317064979814e+00,4.383020636175633498e-03,2.281531580632805856e+02,7.382946921817533370e-02
1.954598096540552632e+01,3.101032716152287261e+00,4.198060720450016471e-03,2.382052253624391938e+02,7.470193242891330632e-02
1.975101553914561237e+01,3.116465506401836283e+00,4.027526526393061974e-03,2.482913503975283618e+02,7.554731620640334211e-02
1.995815520495533235e+01,3.132230184202644985e+00,3.870141799233413945e-03,2.583884653006969643e+02,7.636739714482876362e-02
2.016732323558399287e+01,3.148319245943729694e+00,3.724771672638537302e-03,2.684728321324524245e+02,7.716382487224383857e-02
2.037844290378090761e+01,3.164725188014108515e+00,3.590405039050244881e-03,2.785201082116701627e+02,7.793813422988644934e-02
2.059143748229539028e+01,3.181440506802797774e+00,3.466139428024069772e-03,2.885054166935421449e+02,7.869175613896418897e-02
2.080623024387675102e+01,3.198457698698815577e+00,3.351167999924925360e-03,2.984034223358549980e+02,7.942602732102728436e-02
2.102274446127429997e+01,3.215769260091178694e+00,3.244768329810754966e-03,3.081884123475536512e+02,8.014219901476829500e-02
2.124090340723735437e+01,3.233367687368904342e+00,3.146292711288729491e-03,3.178343821641431077e+02,8.084144481244709413e-02
2.146063035451522083e+01,3.251245476921010180e+00,3.055159755054536689e-03,3.273151259424564046e+02,8.152486772251431313e-02
2.168184857585721659e+01,3.269395125136512537e+00,2.970847093692089227e-03,3.366043315131465761e+02,8.219350655089305291e-02
2.190448134401264468e+01,3.287809128404429515e+00,2.892885034675621737e-03,3.456756794734256459e+02,8.284834168136789856e-02
2.212845193173082592e+01,3.306479983113777887e+00,2.820851028614659341e-03,3.545029460457212735e+02,8.349030032528073630e-02
2.235368361176106689e+01,3.325400185653574869e+00,2.754364840601101778e-03,3.630601092706962731e+02,8.412026130196864626e-02
2.258009965685268128e+01,3.344562232412837677e+00,2.693084329846170445e-03,3.713214580462544063e+02,8.473905940386686209e-02
2.280762333975498279e+01,3.363958619780583970e+00,2.636701757268154409e-03,3.792617034685350177e+02,8.534748939374951771e-02
2.303617793321727802e+01,3.383581844145830519e+00,2.584940552821945320e-03,3.868560918773599155e+02,8.594630967603303362e-02
2.326568670998888422e+01,3.403424401897594542e+00,2.537552484563375312e-03,3.940805189580404999e+02,8.653624567928860922e-02
2.349607294281910441e+01,3.423478789424893254e+00,2.494315180052851522e-03,4.009116442048078284e+02,8.711799298298984751e-02
2.372725990445726296e+01,3.443737503116744314e+00,2.455029957999012215e-03,4.073270050093630630e+02,8.769222021796775624e-02
2.395917086765266646e+01,3.464193039362164495e+00,2.419519934250180873e-03,4.133051296020440191e+02,8.825957176697790674e-02
2.419172910515462860e+01,3.484837894550171455e+00,2.387628371544583007e-03,4.188256480438323024e+02,8.882067028914032714e-02
2.442485788971245242e+01,3.505664565069782412e+00,2.359217246983583149e-03,4.238694004456634161e+02,8.937611908973451535e-02
2.465848049407546227e+01,3.526665547310013693e+00,2.334166015122678649e-03,4.284185415780900144e+02,8.992650435487528626e-02
2.489252019099296120e+01,3.547833337659883401e+00,2.312370547989427930e-03,4.324566410299098607e+02,9.047239726892002121e-02
